idUporabnik;classify;count;razlika;max_razlika;normirano
17;+;18;-67;869;-0.0771001150748
17;-;85;-67;869;-0.0771001150748
17theone;+;67;-53;869;-0.0609896432681
17theone;-;120;-53;869;-0.0609896432681
19miha90;+;132;-23;869;-0.0264672036824
19miha90;-;155;-23;869;-0.0264672036824
4-3-2-1;+;58;-73;869;-0.0840046029919
4-3-2-1;-;131;-73;869;-0.0840046029919
420;+;91;-51;869;-0.0586881472957
420;-;142;-51;869;-0.0586881472957
88dejo88;+;65;27;869;0.0310701956272
88dejo88;-;38;27;869;0.0310701956272
99-or-1;+;75;-68;869;-0.078250863061
99-or-1;-;143;-68;869;-0.078250863061
a-dee-jay;+;27;-66;869;-0.0759493670886
a-dee-jay;-;93;-66;869;-0.0759493670886
a-orhidejca;+;116;-136;869;-0.156501726122
a-orhidejca;-;252;-136;869;-0.156501726122
a123b;+;25;-59;869;-0.0678941311853
a123b;-;84;-59;869;-0.0678941311853
abeta;+;15;-52;869;-0.0598388952819
abeta;-;67;-52;869;-0.0598388952819
abndbn;+;18;-41;869;-0.0471806674338
abndbn;-;59;-41;869;-0.0471806674338
aboveu;+;71;-179;869;-0.205983889528
aboveu;-;250;-179;869;-0.205983889528
accko;+;38;-53;869;-0.0609896432681
accko;-;91;-53;869;-0.0609896432681
acinho;+;45;-196;869;-0.225546605293
acinho;-;241;-196;869;-0.225546605293
adijo-svet;+;222;-297;869;-0.341772151899
adijo-svet;-;519;-297;869;-0.341772151899
agent-perry;+;370;-435;869;-0.500575373993
agent-perry;-;805;-435;869;-0.500575373993
aki10;+;58;-16;869;-0.0184119677791
aki10;-;74;-16;869;-0.0184119677791
alanhansen;+;25;-37;869;-0.0425776754891
alanhansen;-;62;-37;869;-0.0425776754891
albus;+;52;3;869;0.00345224395857
albus;-;49;3;869;0.00345224395857
alcarin;+;20;-47;869;-0.054085155351
alcarin;-;67;-47;869;-0.054085155351
alek;+;108;-2;869;-0.00230149597238
alek;-;110;-2;869;-0.00230149597238
alen64;+;11;-155;869;-0.17836593786
alen64;-;166;-155;869;-0.17836593786
ales24;+;76;17;869;0.0195627157652
ales24;-;59;17;869;0.0195627157652
alexiush;+;183;-85;869;-0.0978135788262
alexiush;-;268;-85;869;-0.0978135788262
alfi2;+;21;-25;869;-0.0287686996548
alfi2;-;46;-25;869;-0.0287686996548
alikasmu-anje;+;81;64;869;0.0736478711162
alikasmu-anje;-;17;64;869;0.0736478711162
alisha-8mg3;+;130;52;869;0.0598388952819
alisha-8mg3;-;78;52;869;0.0598388952819
alkum;+;41;-126;869;-0.14499424626
alkum;-;167;-126;869;-0.14499424626
alojzr;+;11;-78;869;-0.0897583429229
alojzr;-;89;-78;869;-0.0897583429229
am-shagar;+;20;-128;869;-0.147295742232
am-shagar;-;148;-128;869;-0.147295742232
an-e-ciuf;+;35;-17;869;-0.0195627157652
an-e-ciuf;-;52;-17;869;-0.0195627157652
anakin-skywalker;+;16;-39;869;-0.0448791714614
anakin-skywalker;-;55;-39;869;-0.0448791714614
andrejm-yj8h;+;20;-33;869;-0.0379746835443
andrejm-yj8h;-;53;-33;869;-0.0379746835443
andz;+;35;-20;869;-0.0230149597238
andz;-;55;-20;869;-0.0230149597238
angelmanuel;+;25;-29;869;-0.0333716915995
angelmanuel;-;54;-29;869;-0.0333716915995
ankorn;+;63;-67;869;-0.0771001150748
ankorn;-;130;-67;869;-0.0771001150748
anny22;+;81;-44;869;-0.0506329113924
anny22;-;125;-44;869;-0.0506329113924
anze82;+;77;-43;869;-0.0494821634062
anze82;-;120;-43;869;-0.0494821634062
anzi23;+;101;-10;869;-0.0115074798619
anzi23;-;111;-10;869;-0.0115074798619
arawn;+;30;-45;869;-0.0517836593786
arawn;-;75;-45;869;-0.0517836593786
aresnica;+;45;15;869;0.0172612197929
aresnica;-;30;15;869;0.0172612197929
arking;+;24;-54;869;-0.0621403912543
arking;-;78;-54;869;-0.0621403912543
arli23;+;105;-443;869;-0.509781357883
arli23;-;548;-443;869;-0.509781357883
arnolfus;+;18;-41;869;-0.0471806674338
arnolfus;-;59;-41;869;-0.0471806674338
arsenal_fan1;+;332;-347;869;-0.399309551208
arsenal_fan1;-;679;-347;869;-0.399309551208
arso;+;49;-18;869;-0.0207134637514
arso;-;67;-18;869;-0.0207134637514
arto77;+;36;-74;869;-0.0851553509781
arto77;-;110;-74;869;-0.0851553509781
arts7yle;+;118;27;869;0.0310701956272
arts7yle;-;91;27;869;0.0310701956272
aschkao;+;31;-4;869;-0.00460299194476
aschkao;-;35;-4;869;-0.00460299194476
ashme;+;91;-108;869;-0.124280782509
ashme;-;199;-108;869;-0.124280782509
aski;+;197;28;869;0.0322209436133
aski;-;169;28;869;0.0322209436133
assange;+;53;-112;869;-0.128883774453
assange;-;165;-112;869;-0.128883774453
as_kgarnett;+;229;171;869;0.196777905639
as_kgarnett;-;58;171;869;0.196777905639
ata;+;32;-7;869;-0.00805523590334
ata;-;39;-7;869;-0.00805523590334
atacar;+;46;7;869;0.00805523590334
atacar;-;39;7;869;0.00805523590334
atm;+;26;-77;869;-0.0886075949367
atm;-;103;-77;869;-0.0886075949367
atomx;+;48;13;869;0.0149597238205
atomx;-;35;13;869;0.0149597238205
aufbiks-v2ft;+;146;-255;869;-0.293440736479
aufbiks-v2ft;-;401;-255;869;-0.293440736479
avantura10;+;12;-44;869;-0.0506329113924
avantura10;-;56;-44;869;-0.0506329113924
axx;+;36;-34;869;-0.0391254315305
axx;-;70;-34;869;-0.0391254315305
ayrton79;+;19;-38;869;-0.0437284234753
ayrton79;-;57;-38;869;-0.0437284234753
b-in;+;95;-184;869;-0.211737629459
b-in;-;279;-184;869;-0.211737629459
b1;+;16;-67;869;-0.0771001150748
b1;-;83;-67;869;-0.0771001150748
backless;+;24;-78;869;-0.0897583429229
backless;-;102;-78;869;-0.0897583429229
bad-o;+;32;-7;869;-0.00805523590334
bad-o;-;39;-7;869;-0.00805523590334
bala;+;205;12;869;0.0138089758343
bala;-;193;12;869;0.0138089758343
balestra92;+;88;-239;869;-0.2750287687
balestra92;-;327;-239;869;-0.2750287687
bamfi;+;43;-2;869;-0.00230149597238
bamfi;-;45;-2;869;-0.00230149597238
barca10;+;71;-33;869;-0.0379746835443
barca10;-;104;-33;869;-0.0379746835443
barca14;+;62;-10;869;-0.0115074798619
barca14;-;72;-10;869;-0.0115074798619
barca_4_ever;+;48;-66;869;-0.0759493670886
barca_4_ever;-;114;-66;869;-0.0759493670886
barezi;+;38;-8;869;-0.00920598388953
barezi;-;46;-8;869;-0.00920598388953
barracuda-u6le;+;26;-73;869;-0.0840046029919
barracuda-u6le;-;99;-73;869;-0.0840046029919
barto_;+;26;-18;869;-0.0207134637514
barto_;-;44;-18;869;-0.0207134637514
bata1967;+;91;-136;869;-0.156501726122
bata1967;-;227;-136;869;-0.156501726122
bb_44;+;46;-175;869;-0.201380897583
bb_44;-;221;-175;869;-0.201380897583
belfast-boy;+;42;-89;869;-0.102416570771
belfast-boy;-;131;-89;869;-0.102416570771
belphegor;+;29;-79;869;-0.0909090909091
belphegor;-;108;-79;869;-0.0909090909091
bethtempete;+;27;-58;869;-0.0667433831991
bethtempete;-;85;-58;869;-0.0667433831991
biebermaniac;+;18;-81;869;-0.0932105868815
biebermaniac;-;99;-81;869;-0.0932105868815
bigbadbruin;+;14;-60;869;-0.0690448791715
bigbadbruin;-;74;-60;869;-0.0690448791715
bjorndalen-tiala;+;25;-22;869;-0.0253164556962
bjorndalen-tiala;-;47;-22;869;-0.0253164556962
blackadder-7v91;+;17;-39;869;-0.0448791714614
blackadder-7v91;-;56;-39;869;-0.0448791714614
blamethagame;+;57;30;869;0.0345224395857
blamethagame;-;27;30;869;0.0345224395857
blazm;+;109;-107;869;-0.123130034522
blazm;-;216;-107;869;-0.123130034522
blazz;+;68;-107;869;-0.123130034522
blazz;-;175;-107;869;-0.123130034522
bliki;+;159;93;869;0.107019562716
bliki;-;66;93;869;0.107019562716
blitz;+;16;-43;869;-0.0494821634062
blitz;-;59;-43;869;-0.0494821634062
bob-q82o;+;73;28;869;0.0322209436133
bob-q82o;-;45;28;869;0.0322209436133
bobbek;+;264;-140;869;-0.161104718067
bobbek;-;404;-140;869;-0.161104718067
boboman;+;26;-72;869;-0.0828538550058
boboman;-;98;-72;869;-0.0828538550058
bobr;+;8;-68;869;-0.078250863061
bobr;-;76;-68;869;-0.078250863061
boby21;+;41;-81;869;-0.0932105868815
boby21;-;122;-81;869;-0.0932105868815
bobym;+;22;-55;869;-0.0632911392405
bobym;-;77;-55;869;-0.0632911392405
bodimo_realni;+;57;2;869;0.00230149597238
bodimo_realni;-;55;2;869;0.00230149597238
bojan55;+;37;-9;869;-0.0103567318757
bojan55;-;46;-9;869;-0.0103567318757
bojanec;+;63;42;869;0.04833141542
bojanec;-;21;42;869;0.04833141542
bolhca;+;24;-129;869;-0.148446490219
bolhca;-;153;-129;869;-0.148446490219
bondi;+;246;-62;869;-0.0713463751438
bondi;-;308;-62;869;-0.0713463751438
bonifika123;+;14;-79;869;-0.0909090909091
bonifika123;-;93;-79;869;-0.0909090909091
boomslang;+;22;-44;869;-0.0506329113924
boomslang;-;66;-44;869;-0.0506329113924
bor-v;+;41;-117;869;-0.134637514384
bor-v;-;158;-117;869;-0.134637514384
bor10ut;+;87;53;869;0.0609896432681
bor10ut;-;34;53;869;0.0609896432681
borut1991;+;54;10;869;0.0115074798619
borut1991;-;44;10;869;0.0115074798619
bostjan-brunec;+;104;14;869;0.0161104718067
bostjan-brunec;-;90;14;869;0.0161104718067
bozz;+;31;-74;869;-0.0851553509781
bozz;-;105;-74;869;-0.0851553509781
branc;+;36;-18;869;-0.0207134637514
branc;-;54;-18;869;-0.0207134637514
branko57;+;151;-141;869;-0.162255466053
branko57;-;292;-141;869;-0.162255466053
branvan30000;+;41;-43;869;-0.0494821634062
branvan30000;-;84;-43;869;-0.0494821634062
brasilinho7777;+;29;-49;869;-0.0563866513234
brasilinho7777;-;78;-49;869;-0.0563866513234
bregas;+;49;-42;869;-0.04833141542
bregas;-;91;-42;869;-0.04833141542
brehme;+;105;-82;869;-0.0943613348677
brehme;-;187;-82;869;-0.0943613348677
brico32;+;53;-108;869;-0.124280782509
brico32;-;161;-108;869;-0.124280782509
brigate-rosse;+;41;-15;869;-0.0172612197929
brigate-rosse;-;56;-15;869;-0.0172612197929
brisko;+;36;-33;869;-0.0379746835443
brisko;-;69;-33;869;-0.0379746835443
bro_die;+;79;-26;869;-0.029919447641
bro_die;-;105;-26;869;-0.029919447641
bsr;+;429;-213;869;-0.245109321059
bsr;-;642;-213;869;-0.245109321059
bubi-schumi;+;104;51;869;0.0586881472957
bubi-schumi;-;53;51;869;0.0586881472957
budspencer;+;87;-101;869;-0.116225546605
budspencer;-;188;-101;869;-0.116225546605
caedmon;+;35;-17;869;-0.0195627157652
caedmon;-;52;-17;869;-0.0195627157652
cak-mal-noris;+;21;-35;869;-0.0402761795167
cak-mal-noris;-;56;-35;869;-0.0402761795167
camel2;+;29;-19;869;-0.0218642117376
camel2;-;48;-19;869;-0.0218642117376
captain-obvious;+;73;-25;869;-0.0287686996548
captain-obvious;-;98;-25;869;-0.0287686996548
carbonfajbr;+;37;-24;869;-0.0276179516686
carbonfajbr;-;61;-24;869;-0.0276179516686
carlos_carlos;+;17;-64;869;-0.0736478711162
carlos_carlos;-;81;-64;869;-0.0736478711162
cartekmedo;+;548;138;869;0.158803222094
cartekmedo;-;410;138;869;0.158803222094
cecile;+;62;-21;869;-0.02416570771
cecile;-;83;-21;869;-0.02416570771
celec222;+;29;-28;869;-0.0322209436133
celec222;-;57;-28;869;-0.0322209436133
celjan2;+;45;-52;869;-0.0598388952819
celjan2;-;97;-52;869;-0.0598388952819
cepheus;+;30;-8;869;-0.00920598388953
cepheus;-;38;-8;869;-0.00920598388953
chamberlain;+;145;-16;869;-0.0184119677791
chamberlain;-;161;-16;869;-0.0184119677791
chelsea-hh;+;25;-40;869;-0.0460299194476
chelsea-hh;-;65;-40;869;-0.0460299194476
chelsea1111;+;24;-72;869;-0.0828538550058
chelsea1111;-;96;-72;869;-0.0828538550058
chelsea99;+;173;-33;869;-0.0379746835443
chelsea99;-;206;-33;869;-0.0379746835443
chi-bears-54;+;50;1;869;0.00115074798619
chi-bears-54;-;49;1;869;0.00115074798619
chopin;+;40;-40;869;-0.0460299194476
chopin;-;80;-40;869;-0.0460299194476
chosen;+;40;-36;869;-0.0414269275029
chosen;-;76;-36;869;-0.0414269275029
chupa;+;24;-27;869;-0.0310701956272
chupa;-;51;-27;869;-0.0310701956272
cicimici;+;21;-63;869;-0.07249712313
cicimici;-;84;-63;869;-0.07249712313
cini-minis;+;80;-68;869;-0.078250863061
cini-minis;-;148;-68;869;-0.078250863061
comrade;+;135;-143;869;-0.164556962025
comrade;-;278;-143;869;-0.164556962025
conchis;+;20;-57;869;-0.0655926352129
conchis;-;77;-57;869;-0.0655926352129
conquistador;+;35;-99;869;-0.113924050633
conquistador;-;134;-99;869;-0.113924050633
coreysteel;+;69;-23;869;-0.0264672036824
coreysteel;-;92;-23;869;-0.0264672036824
cricka;+;23;-40;869;-0.0460299194476
cricka;-;63;-40;869;-0.0460299194476
crnibog;+;90;-129;869;-0.148446490219
crnibog;-;219;-129;869;-0.148446490219
croman_1;+;56;-78;869;-0.0897583429229
croman_1;-;134;-78;869;-0.0897583429229
cslesce;+;57;-52;869;-0.0598388952819
cslesce;-;109;-52;869;-0.0598388952819
ctm;+;38;-30;869;-0.0345224395857
ctm;-;68;-30;869;-0.0345224395857
cungalunga007;+;65;-105;869;-0.12082853855
cungalunga007;-;170;-105;869;-0.12082853855
cvetaca-i0bc;+;42;-33;869;-0.0379746835443
cvetaca-i0bc;-;75;-33;869;-0.0379746835443
cyril;+;92;-6;869;-0.00690448791715
cyril;-;98;-6;869;-0.00690448791715
d-e-s-s;+;153;22;869;0.0253164556962
d-e-s-s;-;131;22;869;0.0253164556962
d-u-p-a;+;24;-38;869;-0.0437284234753
d-u-p-a;-;62;-38;869;-0.0437284234753
d-wade36;+;103;-25;869;-0.0287686996548
d-wade36;-;128;-25;869;-0.0287686996548
da-funk;+;25;-39;869;-0.0448791714614
da-funk;-;64;-39;869;-0.0448791714614
daayumn;+;15;-86;869;-0.0989643268124
daayumn;-;101;-86;869;-0.0989643268124
dad-t56c;+;12;-60;869;-0.0690448791715
dad-t56c;-;72;-60;869;-0.0690448791715
dadinho10;+;27;-65;869;-0.0747986191024
dadinho10;-;92;-65;869;-0.0747986191024
damirtankovic;+;347;265;869;0.304948216341
damirtankovic;-;82;265;869;0.304948216341
damjan-ozmec;+;52;-5;869;-0.00575373993096
damjan-ozmec;-;57;-5;869;-0.00575373993096
danger_mouse;+;25;-22;869;-0.0253164556962
danger_mouse;-;47;-22;869;-0.0253164556962
daryankoff;+;615;-283;869;-0.325661680092
daryankoff;-;898;-283;869;-0.325661680092
davide;+;19;-34;869;-0.0391254315305
davide;-;53;-34;869;-0.0391254315305
daywalker;+;37;6;869;0.00690448791715
daywalker;-;31;6;869;0.00690448791715
deadeye1;+;39;-54;869;-0.0621403912543
deadeye1;-;93;-54;869;-0.0621403912543
deancarni;+;18;-39;869;-0.0448791714614
deancarni;-;57;-39;869;-0.0448791714614
dejan1994;+;27;-27;869;-0.0310701956272
dejan1994;-;54;-27;869;-0.0310701956272
delux;+;104;51;869;0.0586881472957
delux;-;53;51;869;0.0586881472957
demetra;+;66;-48;869;-0.0552359033372
demetra;-;114;-48;869;-0.0552359033372
demiensatlier;+;106;-67;869;-0.0771001150748
demiensatlier;-;173;-67;869;-0.0771001150748
deninho1989;+;33;-6;869;-0.00690448791715
deninho1989;-;39;-6;869;-0.00690448791715
deniniho;+;48;-16;869;-0.0184119677791
deniniho;-;64;-16;869;-0.0184119677791
diazepam;+;102;-54;869;-0.0621403912543
diazepam;-;156;-54;869;-0.0621403912543
diego-armando;+;114;-89;869;-0.102416570771
diego-armando;-;203;-89;869;-0.102416570771
dimel;+;23;-26;869;-0.029919447641
dimel;-;49;-26;869;-0.029919447641
dinacc;+;40;-42;869;-0.04833141542
dinacc;-;82;-42;869;-0.04833141542
dirknowitzki;+;147;26;869;0.029919447641
dirknowitzki;-;121;26;869;0.029919447641
dirttrials;+;50;-14;869;-0.0161104718067
dirttrials;-;64;-14;869;-0.0161104718067
divac21;+;22;-47;869;-0.054085155351
divac21;-;69;-47;869;-0.054085155351
dobiica;+;85;-62;869;-0.0713463751438
dobiica;-;147;-62;869;-0.0713463751438
doblaek;+;26;-33;869;-0.0379746835443
doblaek;-;59;-33;869;-0.0379746835443
doblica;+;33;-49;869;-0.0563866513234
doblica;-;82;-49;869;-0.0563866513234
doda33;+;16;-35;869;-0.0402761795167
doda33;-;51;-35;869;-0.0402761795167
doktor-bauer;+;52;-33;869;-0.0379746835443
doktor-bauer;-;85;-33;869;-0.0379746835443
dolinc;+;36;-114;869;-0.131185270426
dolinc;-;150;-114;869;-0.131185270426
domen_92;+;27;-36;869;-0.0414269275029
domen_92;-;63;-36;869;-0.0414269275029
domobranec-ryen;+;101;-169;869;-0.194476409666
domobranec-ryen;-;270;-169;869;-0.194476409666
donkey;+;96;-10;869;-0.0115074798619
donkey;-;106;-10;869;-0.0115074798619
donkeyking;+;31;-6;869;-0.00690448791715
donkeyking;-;37;-6;869;-0.00690448791715
doubleog;+;11;-75;869;-0.0863060989643
doubleog;-;86;-75;869;-0.0863060989643
dp_mozart;+;25;-61;869;-0.0701956271577
dp_mozart;-;86;-61;869;-0.0701956271577
drago;+;24;-42;869;-0.04833141542
drago;-;66;-42;869;-0.04833141542
drash;+;45;8;869;0.00920598388953
drash;-;37;8;869;0.00920598388953
drawlord;+;75;-131;869;-0.150747986191
drawlord;-;206;-131;869;-0.150747986191
dreadlord;+;18;-51;869;-0.0586881472957
dreadlord;-;69;-51;869;-0.0586881472957
drjones;+;22;-69;869;-0.0794016110472
drjones;-;91;-69;869;-0.0794016110472
drncl;+;32;-42;869;-0.04833141542
drncl;-;74;-42;869;-0.04833141542
drop-dead;+;30;-24;869;-0.0276179516686
drop-dead;-;54;-24;869;-0.0276179516686
dusansilni;+;83;-6;869;-0.00690448791715
dusansilni;-;89;-6;869;-0.00690448791715
dylanus;+;65;39;869;0.0448791714614
dylanus;-;26;39;869;0.0448791714614
e-e;+;45;-59;869;-0.0678941311853
e-e;-;104;-59;869;-0.0678941311853
eagle012;+;82;39;869;0.0448791714614
eagle012;-;43;39;869;0.0448791714614
ebel-acroni;+;49;-29;869;-0.0333716915995
ebel-acroni;-;78;-29;869;-0.0333716915995
ekv;+;32;-8;869;-0.00920598388953
ekv;-;40;-8;869;-0.00920598388953
elemental;+;17;-60;869;-0.0690448791715
elemental;-;77;-60;869;-0.0690448791715
elko;+;40;-1;869;-0.00115074798619
elko;-;41;-1;869;-0.00115074798619
eltorro;+;10;-47;869;-0.054085155351
eltorro;-;57;-47;869;-0.054085155351
elvis1990;+;50;23;869;0.0264672036824
elvis1990;-;27;23;869;0.0264672036824
emlynhughes;+;59;-131;869;-0.150747986191
emlynhughes;-;190;-131;869;-0.150747986191
enigma1;+;79;25;869;0.0287686996548
enigma1;-;54;25;869;0.0287686996548
ennui;+;83;-111;869;-0.127733026467
ennui;-;194;-111;869;-0.127733026467
ermin;+;14;-67;869;-0.0771001150748
ermin;-;81;-67;869;-0.0771001150748
erwte35;+;31;-5;869;-0.00575373993096
erwte35;-;36;-5;869;-0.00575373993096
es-y8pg;+;41;8;869;0.00920598388953
es-y8pg;-;33;8;869;0.00920598388953
espero;+;31;-15;869;-0.0172612197929
espero;-;46;-15;869;-0.0172612197929
etienko;+;23;-66;869;-0.0759493670886
etienko;-;89;-66;869;-0.0759493670886
ettelewen;+;39;-2;869;-0.00230149597238
ettelewen;-;41;-2;869;-0.00230149597238
eu-bananistan;+;27;-28;869;-0.0322209436133
eu-bananistan;-;55;-28;869;-0.0322209436133
eva-longoria;+;34;-27;869;-0.0310701956272
eva-longoria;-;61;-27;869;-0.0310701956272
ezat_anim;+;179;-407;869;-0.46835443038
ezat_anim;-;586;-407;869;-0.46835443038
